id,timestamp,team_id,mission_time,packet_count,altitude,pressure,temperature,voltage,gps_lat,gps_lon,gps_alt,gps_sats,pitch,yaw,roll,state,error_code,source
171,2026-06-18 16:22:42,2026,00:01:10,70,292.8,97856.0,23.1,4.06,28.6298,77.21655,508.8,12,10.0,93.2,140.4,DESCENT,0000,SIM
172,2026-06-18 16:22:46,2026,00:00:01,1,47.1,100761.0,24.7,4.2,28.62892,77.21501,263.1,10,1.6,0.7,13.6,ASCENT,0000,SIM
173,2026-06-18 16:22:47,2026,00:00:02,2,94.0,100201.0,24.4,4.2,28.62892,77.21501,310.0,10,-1.7,3.0,26.6,ASCENT,0000,SIM
174,2026-06-18 16:22:48,2026,00:00:03,3,140.5,99648.0,24.1,4.19,28.62892,77.21501,356.5,10,2.1,6.1,39.9,ASCENT,0000,SIM
175,2026-06-18 16:22:49,2026,00:00:04,4,186.5,99104.0,23.8,4.19,28.62892,77.21501,402.5,10,2.1,6.4,57.3,ASCENT,0000,SIM
176,2026-06-18 16:22:50,2026,00:00:05,5,231.8,98572.0,23.5,4.19,28.62892,77.21501,447.8,11,1.2,9.6,71.8,ASCENT,0000,SIM
177,2026-06-18 16:22:51,2026,00:00:06,6,276.1,98052.0,23.2,4.19,28.62892,77.21501,492.1,11,-0.8,10.6,84.9,ASCENT,0000,SIM
178,2026-06-18 16:22:52,2026,00:00:07,7,319.3,97547.0,22.9,4.19,28.62892,77.21501,535.3,9,1.7,13.4,99.5,ASCENT,0000,SIM
179,2026-06-18 16:22:53,2026,00:00:08,8,361.3,97059.0,22.7,4.18,28.62892,77.21501,577.3,11,-1.2,14.4,113.1,ASCENT,0000,SIM
180,2026-06-18 16:22:54,2026,00:00:09,9,401.9,96589.0,22.4,4.18,28.62892,77.21501,617.9,11,-2.4,14.7,127.0,ASCENT,0000,SIM
181,2026-06-18 16:22:55,2026,00:00:10,10,440.8,96140.0,22.1,4.18,28.62892,77.21501,656.8,12,0.1,17.8,140.8,ASCENT,0000,SIM
